Date,Time,Interest,Unemployment,Inflation
2004.06.01,00:00,1.03,5.6,1.9
2004.07.01,00:00,1.26,5.5,1.8
2004.08.01,00:00,1.43,5.4,1.7
2004.09.01,00:00,1.61,5.4,2.0
2004.10.01,00:00,1.76,5.5,2.0
2004.11.01,00:00,1.93,5.4,2.2
2004.12.01,00:00,2.16,5.4,2.2
2005.01.01,00:00,2.28,5.3,2.3
2005.02.01,00:00,2.5,5.4,2.4
2005.03.01,00:00,2.63,5.2,2.3
2005.04.01,00:00,2.79,5.2,2.2
2005.05.01,00:00,3.0,5.1,2.2
2005.06.01,00:00,3.04,5.0,2.0
2005.07.01,00:00,3.26,5.0,2.1
2005.08.01,00:00,3.5,4.9,2.1
2005.09.01,00:00,3.62,5.0,2.0
2005.10.01,00:00,3.78,5.0,2.1
2005.11.01,00:00,4.0,5.0,2.1
2005.12.01,00:00,4.16,4.9,2.2
2006.01.01,00:00,4.29,4.7,2.1
2006.02.01,00:00,4.49,4.8,2.1
2006.03.01,00:00,4.59,4.7,2.1
2006.04.01,00:00,4.79,4.7,2.3
2006.05.01,00:00,4.94,4.6,2.4
2006.06.01,00:00,4.99,4.6,2.6
2006.07.01,00:00,5.24,4.7,2.7
2006.08.01,00:00,5.25,4.7,2.8
2006.09.01,00:00,5.25,4.5,2.9
2006.10.01,00:00,5.25,4.4,2.7
2006.11.01,00:00,5.25,4.5,2.6
2006.12.01,00:00,5.24,4.4,2.6
2007.01.01,00:00,5.25,4.6,2.7
2007.02.01,00:00,5.26,4.5,2.7
2007.03.01,00:00,5.26,4.4,2.5
2007.04.01,00:00,5.25,4.5,2.3
2007.05.01,00:00,5.25,4.4,2.2
2007.06.01,00:00,5.25,4.6,2.2
2007.07.01,00:00,5.26,4.7,2.2
2007.08.01,00:00,5.02,4.6,2.1
2007.09.01,00:00,4.94,4.7,2.1
2007.10.01,00:00,4.76,4.7,2.2
2007.11.01,00:00,4.49,4.7,2.3
2007.12.01,00:00,4.24,5.0,2.4
2008.01.01,00:00,3.94,5.0,2.5
2008.02.01,00:00,2.98,4.9,2.3
2008.03.01,00:00,2.61,5.1,2.4
2008.04.01,00:00,2.28,5.0,2.3
2008.05.01,00:00,1.98,5.4,2.3
2008.06.01,00:00,2.0,5.6,2.4
2008.07.01,00:00,2.01,5.8,2.5
2008.08.01,00:00,2.0,6.1,2.5
2008.09.01,00:00,1.81,6.1,2.5
2008.10.01,00:00,0.97,6.5,2.2
2008.11.01,00:00,0.39,6.8,2.0
2008.12.01,00:00,0.16,7.3,1.8
2009.01.01,00:00,0.15,7.8,1.7
2009.02.01,00:00,0.22,8.3,1.8
2009.03.01,00:00,0.18,8.7,1.8
2009.04.01,00:00,0.15,9.0,1.9
2009.05.01,00:00,0.18,9.4,1.8
2009.06.01,00:00,0.21,9.5,1.7
2009.07.01,00:00,0.16,9.5,1.5
2009.08.01,00:00,0.16,9.6,1.4
2009.09.01,00:00,0.15,9.8,1.5
2009.10.01,00:00,0.12,10.0,1.7
2009.11.01,00:00,0.12,9.9,1.7
2009.12.01,00:00,0.12,9.9,1.8
2010.01.01,00:00,0.11,9.8,1.6
2010.02.01,00:00,0.13,9.8,1.3
2010.03.01,00:00,0.16,9.9,1.1
2010.04.01,00:00,0.2,9.9,0.9
2010.05.01,00:00,0.2,9.6,0.9
2010.06.01,00:00,0.18,9.4,0.9
2010.07.01,00:00,0.18,9.4,0.9
2010.08.01,00:00,0.19,9.5,0.9
2010.09.01,00:00,0.19,9.5,0.8
