Year,Month,Interest,Unemployment,Inflation
2004,6,1.03,5.6,1.9
2004,7,1.26,5.5,1.8
2004,8,1.43,5.4,1.7
2004,9,1.61,5.4,2.0
2004,10,1.76,5.5,2.0
2004,11,1.93,5.4,2.2
2004,12,2.16,5.4,2.2
2005,1,2.28,5.3,2.3
2005,2,2.5,5.4,2.4
2005,3,2.63,5.2,2.3
2005,4,2.79,5.2,2.2
2005,5,3.0,5.1,2.2
2005,6,3.04,5.0,2.0
2005,7,3.26,5.0,2.1
2005,8,3.5,4.9,2.1
2005,9,3.62,5.0,2.0
2005,10,3.78,5.0,2.1
2005,11,4.0,5.0,2.1
2005,12,4.16,4.9,2.2
2006,1,4.29,4.7,2.1
2006,2,4.49,4.8,2.1
2006,3,4.59,4.7,2.1
2006,4,4.79,4.7,2.3
2006,5,4.94,4.6,2.4
2006,6,4.99,4.6,2.6
2006,7,5.24,4.7,2.7
2006,8,5.25,4.7,2.8
2006,9,5.25,4.5,2.9
2006,10,5.25,4.4,2.7
2006,11,5.25,4.5,2.6
2006,12,5.24,4.4,2.6
2007,1,5.25,4.6,2.7
2007,2,5.26,4.5,2.7
2007,3,5.26,4.4,2.5
2007,4,5.25,4.5,2.3
2007,5,5.25,4.4,2.2
2007,6,5.25,4.6,2.2
2007,7,5.26,4.7,2.2
2007,8,5.02,4.6,2.1
2007,9,4.94,4.7,2.1
2007,10,4.76,4.7,2.2
2007,11,4.49,4.7,2.3
2007,12,4.24,5.0,2.4
2008,1,3.94,5.0,2.5
2008,2,2.98,4.9,2.3
2008,3,2.61,5.1,2.4
2008,4,2.28,5.0,2.3
2008,5,1.98,5.4,2.3
2008,6,2.0,5.6,2.4
2008,7,2.01,5.8,2.5
2008,8,2.0,6.1,2.5
2008,9,1.81,6.1,2.5
2008,10,0.97,6.5,2.2
2008,11,0.39,6.8,2.0
2008,12,0.16,7.3,1.8
2009,1,0.15,7.8,1.7
2009,2,0.22,8.3,1.8
2009,3,0.18,8.7,1.8
2009,4,0.15,9.0,1.9
2009,5,0.18,9.4,1.8
2009,6,0.21,9.5,1.7
2009,7,0.16,9.5,1.5
2009,8,0.16,9.6,1.4
2009,9,0.15,9.8,1.5
2009,10,0.12,10.0,1.7
2009,11,0.12,9.9,1.7
2009,12,0.12,9.9,1.8
2010,1,0.11,9.8,1.6
2010,2,0.13,9.8,1.3
2010,3,0.16,9.9,1.1
2010,4,0.2,9.9,0.9
2010,5,0.2,9.6,0.9
2010,6,0.18,9.4,0.9
2010,7,0.18,9.4,0.9
2010,8,0.19,9.5,0.9
2010,9,0.19,9.5,0.8
2010,10,0.19,9.4,0.6
2010,11,0.19,9.8,0.8
2010,12,0.18,9.3,0.8
2011,1,0.17,9.1,1.0
2011,2,0.16,9.0,1.1
2011,3,0.14,9.0,1.2
2011,4,0.1,9.1,1.3
2011,5,0.09,9.0,1.5
2011,6,0.09,9.1,1.6
2011,7,0.07,9.0,1.8
2011,8,0.1,9.0,2.0
2011,9,0.08,9.0,2.0
2011,10,0.07,8.8,2.1
2011,11,0.08,8.6,2.2
2011,12,0.07,8.5,2.2
2012,1,0.08,8.3,2.3
2012,2,0.1,8.3,2.2
2012,3,0.13,8.2,2.3
2012,4,0.14,8.2,2.3
2012,5,0.16,8.2,2.3
2012,6,0.16,8.2,2.2
2012,7,0.16,8.2,2.1
2012,8,0.13,8.1,1.9
2012,9,0.14,7.8,2.0
2012,10,0.16,7.8,2.0
2012,11,0.16,7.7,1.9
2012,12,0.16,7.9,1.9
2013,1,0.14,8.0,1.9
2013,2,0.15,7.7,2.0
2013,3,0.14,7.5,1.9
2013,4,0.15,7.6,1.7
2013,5,0.11,7.5,1.7
2013,6,0.09,7.5,1.6
2013,7,0.09,7.3,1.7
2013,8,0.08,7.3,1.8
2013,9,0.08,7.2,1.7
2013,10,0.09,7.2,1.7
2013,11,0.08,6.9,1.7
2013,12,0.09,6.7,1.7
2014,1,0.07,6.6,1.6
2014,2,0.07,6.7,1.6
2014,3,0.08,6.7,1.7
2014,4,0.09,6.2,1.8
2014,5,0.09,6.3,2.0
2014,6,0.1,6.1,1.9
2014,7,0.09,6.2,1.9
2014,8,0.09,6.2,1.7
2014,9,0.09,5.9,1.7
2014,10,0.09,5.7,1.8
2014,11,0.09,5.8,1.7
2014,12,0.12,5.6,1.6
2015,1,0.11,5.7,1.6
2015,2,0.11,5.5,1.7
2015,3,0.11,5.4,1.8
2015,4,0.12,5.4,1.8
2015,5,0.12,5.5,1.7
2015,6,0.13,5.3,1.8
2015,7,0.13,5.2,1.8
2015,8,0.14,5.1,1.8
2015,9,0.14,5.0,1.9
2015,10,0.12,5.0,1.9
2015,11,0.12,5.0,2.0
2015,12,0.24,5.0,2.1
2016,1,0.34,4.9,2.2
2016,2,0.38,4.9,2.3
2016,3,0.36,5.0,2.2
2016,4,0.37,5.0,2.1
2016,5,0.37,4.7,2.2
2016,6,0.38,4.9,2.2
2016,7,0.39,4.9,2.2
2016,8,0.4,4.9,2.3
2016,9,0.4,4.9,2.2
2016,10,0.4,4.8,2.1
2016,11,0.41,4.6,2.1
2016,12,0.54,4.7,2.2
2017,1,0.65,4.8,2.3
2017,2,0.66,4.7,2.2
2017,3,0.79,4.4,2.4
2017,4,0.90,4.4,2.2
2017,5,0.91,4.4,1.9
2017,6,1.04,4.3,1.6
2017,7,1.15,4.3,1.7
2017,8,1.16,4.4,1.9
2017,9,1.15,4.3,2.2
2017,10,1.15,4.2,2.0
2017,11,1.16,4.2,2.2
2017,12,1.30,4.1,2.1
2018,1,1.41,4.0,2.1
2018,2,1.42,4.1,2.2
2018,3,1.51,4.0,2.4
2018,4,1.69,4.0,2.5
2018,5,1.70,3.8,2.8
2018,6,1.82,4.0,2.9
2018,7,1.91,3.8,2.9
2018,8,1.91,3.8,2.7
2018,9,1.95,3.7,2.3
2018,10,2.19,3.8,2.5
2018,11,2.20,3.8,1.9
2018,12,2.27,3.9,2.4
2019,1,2.40,4.0,1.6
2019,2,2.40,3.8,1.5
2019,3,2.41,3.8,1.9
2019,4,2.42,3.7,2.0
2019,5,2.39,3.6,1.8
2019,6,2.38,3.6,1.8
2019,7,2.40,3.7,1.7
2019,8,2.13,3.6,1.7
2019,9,2.04,3.5,1.8
2019,10,1.83,3.6,2.1
2019,11,1.55,3.6,2.3
2019,12,1.55,3.6,1.8
2020,1,1.55,3.6,2.5
2020,2,1.58,3.5,2.3
2020,3,0.65,4.4,1.5
2020,4,0.05,14.8,0.3
2020,5,0.05,13.2,0.1
2020,6,0.08,11.0,0.6
2020,7,0.09,10.2,1.4
2020,8,0.10,8.4,1.3
2020,9,0.09,7.8,1.4
2020,10,0.09,6.8,1.2
2020,11,0.09,6.7,1.2
2020,12,0.09,6.7,1.2
2021,1,0.09,6.4,1.4
2021,2,0.08,6.2,1.7
2021,3,0.07,6.1,2.6
2021,4,0.07,6.1,4.2
2021,5,0.06,5.8,5.0
2021,6,0.08,5.9,5.4
2021,7,0.10,5.4,5.4
2021,8,0.09,5.1,5.3
2021,9,0.08,4.7,5.4
2021,10,0.08,4.5,6.2
2021,11,0.08,4.1,6.8
2021,12,0.08,3.9,7.0
2022,1,0.08,4.0,7.5
2022,2,0.08,3.8,7.9
2022,3,0.20,3.6,8.5
2022,4,0.33,3.7,8.3
2022,5,0.77,3.6,8.6
2022,6,1.21,3.6,9.1
2022,7,1.68,3.5,8.2
2022,8,2.33,3.6,8.3
2022,9,2.56,3.5,8.2
2022,10,3.08,3.6,8.0
2022,11,3.78,3.6,7.1
2022,12,4.10,3.5,6.5
2023,1,4.33,3.4,6.4
2023,2,4.57,3.6,6.0
2023,3,4.65,3.5,5.0
2023,4,4.83,3.4,4.9
2023,5,5.06,3.7,4.0
2023,6,5.08,3.6,3.2
2023,7,5.12,3.5,3.7
2023,8,5.33,3.8,3.7
2023,9,5.33,3.8,3.2
2023,10,5.33,3.8,3.1
2023,11,5.33,3.7,3.4
2023,12,5.33,3.7,4.1
2024,1,5.33,3.7,3.1
2024,2,5.33,3.9,3.2
2024,3,5.33,3.8,3.5
2024,4,5.33,3.9,3.4
2024,5,5.33,4.0,3.3
2024,6,5.33,4.1,3.0
2024,7,5.33,4.3,2.9
2024,8,5.33,4.2,2.5
2024,9,5.13,4.1,2.4
